Year,Emissions
1910,25009438
1911,24630506
1912,17029154
1913,24251576
1914,26718416
1915,25420578
1916,30130690
1917,32023448
1918,34747964
1919,37997296
1920,40278456
1921,38762732
1922,39971524
1923,46517556
1924,48846084
1925,45954840
1926,43660164
1927,45808580
1928,47591444
1929,48281828
1930,49558456
1931,51904660
1932,50269150
1933,54111180
1934,62382628
1935,72645970
1936,75477250
1937,70968650
1938,61365520
1939,74426990
1940,90790530
1941,113978570
1942,127613384
1943,108994540
1944,103003570
1945,55892210
1946,36107050
1947,41836136
1948,38400104
1949,62081100
1950,78835290
1951,102115210
1952,127999330
1953,133782880
1954,160877400
1955,190521460
1956,215823980
1957,255784960
1958,524617060
1959,720151550
1960,798799940
1961,570630200
1962,459618080
1963,456779460
1964,460637100
1965,500286370
1966,549459260
1967,460225900
1968,495506560
1969,607683300
1970,807952640
1971,909209700
1972,968645570
1973,1008292600
1974,1028099840
1975,1183215000
1976,1226421200
1977,1340831100
1978,1492777900
1979,1525661200
1980,1494495900
1981,1476487800
1982,1606585000
1983,1694216800
1984,1844828000
1985,1998083000
1986,2104213400
1987,2257738500
1988,2425893600
1989,2463654400
1990,2484854800
1991,2606096100
1992,2730787600
1993,2921651000
1994,3103739000
1995,3361637000
1996,3508818200
1997,3515594200
1998,3364587500
1999,3557274600
2000,3649226500
2001,3728509700
2002,4103046400
2003,4841118700
2004,5217351000
2005,5882106400
2006,6494330400
2007,6983547400
2008,7501497300
2009,7891078000
2010,8620576000
2011,9532332000
2012,9779292000
2013,9956329000
2014,9990257000
2015,9863457000
2016,9762714000
2017,10006343000
2018,10332993000
2019,10713984000
2020,10905693000
2021,11447913000
2022,11350538000
2023,11902503000
