Year,Emissions
1910,23487316
1920,34867976
1921,37505520
1922,36903370
1923,37971890
1924,40627950
1925,40084930
1926,39942580
1927,41883788
1928,40072960
1929,41707876
1930,42399496
1931,38851024
1932,36129476
1933,35467340
1934,39611030
1935,41393200
1936,40684480
1937,45067284
1938,50379656
1939,49312224
1940,52309530
1941,53581100
1942,53529536
1943,46644424
1944,47695988
1945,52874036
1946,52225000
1947,53180280
1948,53204080
1949,56187840
1950,61102560
1951,64022116
1952,67426140
1953,68704824
1954,72413624
1955,78787740
1956,81656370
1957,91635350
1958,95815784
1959,101447256
1960,111325050
1961,120404270
1962,132581544
1963,142444140
1964,139488270
1965,153701940
1966,159373390
1967,159555820
1968,174069330
1969,177413360
1970,181722640
1971,191963680
1972,203035980
1973,209095040
1974,215853180
1975,234209120
1976,244749380
1977,258961730
1978,263149570
1979,276284740
1980,291711100
1981,314966180
1982,325380000
1983,352198850
1984,361559460
1985,397592100
1986,426309380
1987,455343040
1988,491692160
1989,540651100
1990,577996000
1991,615365000
1992,655447040
1993,677299260
1994,714063740
1995,760461630
1996,823620700
1997,858011200
1998,875772350
1999,960762940
2000,986444700
2001,1000526700
2002,1032139800
2003,1067736960
2004,1133827600
2005,1194592400
2006,1292484600
2007,1392506000
2008,1489437400
2009,1612216300
2010,1677337200
2011,1764712400
2012,1925699700
2013,1995098100
2014,2148343800
2015,2234219500
2016,2354658000
2017,2426606800
2018,2593057800
2019,2612888000
2020,2421552000
2021,2674221800
2022,2831166200
2023,3062324500
