Year,Emissions
1910,1271582100
1920,1738245800
1921,1423668600
1922,1435758300
1923,1896735900
1924,1698320300
1925,1758185500
1926,1906048500
1927,1862839200
1928,1830965000
1929,1963506200
1930,1744916200
1931,1484959100
1932,1257814100
1933,1348876800
1934,1436238600
1935,1492320900
1936,1713411700
1937,1792609900
1938,1515749900
1939,1670920400
1940,1874985100
1941,2043585000
1942,2198264800
1943,2272059100
1944,2444903700
1945,2359551500
1946,2257493800
1947,2485854500
1948,2582558700
1949,2164862200
1950,2541485300
1951,2618711600
1952,2551219500
1953,2612971300
1954,2489462300
1955,2728512000
1956,2859995000
1957,2835772200
1958,2747107600
1959,2831923200
1960,2897315000
1961,2886872800
1962,2993902000
1963,3126487600
1964,3264313600
1965,3399547000
1966,3571421400
1967,3705461000
1968,3840919600
1969,4035145200
1970,4339686000
1971,4365465000
1972,4573015000
1973,4785434000
1974,4621419000
1975,4478563000
1976,4748111400
1977,4889953300
1978,4941708300
1979,5008955400
1980,4808877600
1981,4686743000
1982,4447602000
1983,4429711000
1984,4662488000
1985,4652938000
1986,4663711000
1987,4826012700
1988,5050858500
1989,5132543500
1990,5120957000
1991,5062956500
1992,5174227500
1993,5272850400
1994,5364279300
1995,5425259500
1996,5612983000
1997,5688142300
1998,5733281000
1999,5803918000
2000,6010135600
2001,5907739600
2002,5946308000
2003,6010145300
2004,6112655000
2005,6132183000
2006,6052686000
2007,6130123000
2008,5915118600
2009,5480725500
2010,5679715300
2011,5546116000
2012,5344086000
2013,5480156700
2014,5528681000
2015,5376473000
2016,5252932000
2017,5212162000
2018,5377797000
2019,5262145000
2020,4714628000
2021,5032213000
2022,5078871000
2023,4911391000
